id,value_int,value_float,text
a743bf80-3fa1-439f-ba4a-8200c0e08d0a,41306632,890814.2117383959,6bkuFF8ChvQJsZYHOKTu
a26b9241-d8ec-4331-a520-8735f42a90b1,991310450,103074.86837072522,maYqGcCxAUyvi7O0e0pf
6a71bde2-3bba-4746-b89d-7c05bae46991,791754482,876573.1766117442,ktrYAawKCZ73zQ1hNVv9
720bfc57-a2e4-46ed-a99d-1a0e30ec0694,950484057,178560.48988082306,iUF3ovwmSjyhoV5GbOtz
425d34af-87d5-4cc7-9932-98451058878c,31741054,145503.5011282173,pqEzIviJw45I64EN8dFV
46a3b330-4e95-429c-9bae-d0f192664c61,450487786,718493.8592655265,rwD6mi4UwDfV2IT34JSi
ce1d6a18-7410-40c0-abf9-2ec3ae57019c,919986636,528234.4994468958,jkcWkRoI4iyDMbR8q2V2
501110dd-bf15-4dc0-92cc-960ed0831f1f,652317621,309372.339181701,TvKLxaIMmdIauCdMHRrs
ed35a0d8-16a8-4a52-bd93-ccbf5622ac34,707908151,82892.80966031554,uYz7A8sfNdcHfS8RoD6A
53b1ca2b-e195-4fa8-b13c-59f51df56c80,38716317,713856.7207346777,YqS2SyZHmkkfZ1xLFMoG
6adcbf7b-20f8-42f8-8d19-a586276267b7,529488892,477398.40571943915,svv6GOt06HW8ZnqeGvyi
b96cf036-712a-4189-8ec1-9a393ab324f1,862996797,321329.80108335475,PisKq5CrIZ5EbIFBdfKC
56ef6137-40af-4e03-b273-02d5f96d4ff0,389207814,760823.8293347433,3TlnFBM1bIbRvxKf0bWX
8523612f-dc0d-4336-b588-fa537cf8fdc6,793907408,921040.7630238177,1oISLGrqhSSKssIy98kq
1413161b-df7a-4ca4-b619-32d60328c34b,567028120,828945.6560470543,OKCGe1jqy6FaX66LkO9P
2fa0c08e-f569-4ef6-9fdb-a85ca61fd63c,548784211,774624.6301235284,Cr2QqPpQ80TqlI0IWIUv
ed2afc9f-f49a-4bfd-8804-2c4862ce3102,773196788,573425.3699881585,Sq6Rzw9vUtzgXPgGWDfy
d5720b3c-737e-45da-896e-cd88b4e075b9,834612588,34317.037929757265,DjTFXUjSQ2XghSz0jhHL
872f7a62-7e24-4bd9-9215-6408d1cc8343,658560039,271245.5415351707,B4NHAOXejOYyNdT1FW67
13c5754b-fafb-4b48-86fd-20737531ea0e,931816998,552690.6367630538,fjtSBwHn9LOT04rUjBFk
7c68adff-d8eb-43f7-83a2-5c80fe0564cd,897605173,826728.72413101,WTHHns9LYl1F6F9XH7Gl
479bb5f5-8dc3-4e0e-9789-8de7cfd71402,933910228,735844.1572703096,4nKuzBJ0PiriQxwD1gui
8528a2ec-f13b-4d57-a769-4b2e59f296c5,602157914,620432.6005917242,NBGooXLbEFZ2tOBSf7IG
70fa0be7-0d68-476f-a922-acc9b480ef99,627227414,355705.19335210824,LvbbEp0orJKDQVEFJMxB
fa297210-e4e9-4aab-8c75-c031e332581b,480847856,494426.0837030052,vn476X30xiXWzcFCoPpj
3035a2bf-59f6-4b30-9819-bf9e1fdd1b93,377111713,18158.80439673356,GcLuU2oKR7XZ6QsI9dew
3fb84ed9-6138-4451-9c78-94c5a0ec2078,19275688,707276.2895675824,WSWtzHP5t9IeadX5j4aB
6870b003-f2f4-4496-a54d-20850c5fb5e0,636601349,609177.80858099,bFvxF5cG4VYYIPrleqZQ
e1c7773f-c597-4462-9bc2-2a5eec9a5453,216304570,291893.64101873804,RDX7eOG5A1NwfIQ343jD
9e236fae-9b43-420f-9fb3-440f861b328d,295756924,818678.9364933614,lISoOVPUi12mAeCfjsB9
d1ad36a9-4986-4f3a-93d3-1b8d9c58a6b6,867679010,692730.3524352246,QNOVrsCQauA2t4IeibAk
206b4c7f-08d0-4ec3-a2cd-bcf0976665e0,426818329,746780.1409733417,t6cpZOjfeMftshx3eP2c
66fd3dcf-b9f8-4807-856f-83d59bbd8bc0,572798993,960412.4542287082,atbIqIE0dT52IDSYtwJn
7ed48307-39cb-433c-ad66-9168794df3da,216397154,589873.8496023278,8LkL00WbXgWjitqOFSu8
3644f6b3-8315-4d5c-8b25-8e323bee41ea,480311903,531816.10838054,UjPCjKL00THNRui49icv
9868cd1a-27f4-40a0-8951-cf8ca6cf290e,899304915,271494.4478415837,Acq8hEoepuWPrxbKKM6o
5bcb3f56-d8f9-430a-96ae-4aa595ed6da1,299879270,461624.4689486739,o4BvPfZRVzISFLAhxZTs
8d2140c9-5348-478b-9af4-722bea5ec2c8,508719118,568731.9080872355,lwiqVDzXoTE6otwAaleD
a42c77ba-c8a4-4684-a51e-13efcefd6b27,681789942,363511.2135675013,1bg7PATjN8AGqDoKpGtz
cd3c49ea-2658-458d-9e72-5519389e991a,116158995,163239.52046926948,dJwsDedIiI5yh4uo6ALV
343e0fdc-4038-4a77-988b-36b1047aef10,538841072,834601.6412580513,dNT5ZDShbIJLI6Bgjqns
a8295e64-e933-46e3-9807-57fccfb09074,85225198,88929.6084232708,xWVfV0BSnOirgvus6xx0
cbab98cd-55f7-4bb3-9311-3f339e12720a,932170925,708230.8234426695,OzfOI0MVoeX9w3TVpPUP
383b0084-a4d8-4616-a178-c4cd203e2929,147415918,338730.7568157407,TgW3U9WNyniJynemCukT
7585a42d-eb35-484f-9f92-085e90db4c17,821779360,572287.8310465162,IEEK82O94s09U4TbsZVZ
e3ad13c3-d896-4888-beec-bf6b6c92a5a1,180931479,921651.9562320277,vssjufUaTu6GwMAadfYP
cc0cd382-ef68-4cd0-a46d-854f6c503311,876939398,370782.535600925,LydNJDF9NB4e51nZIUhV
6805efee-43c3-4759-83f7-9b83d813f490,266195066,620503.740188763,D9UvBVxe1lOJ2uWL02KU
